Team,HS,AS,HST,AST,HC,AC,HO,AO,HY,AY,HR,AR,WinStreakHome,LossStreakHome,WinStreakAway,LossStreakAway,HomeTeamForm,AwayTeamForm
Valencia,12.8,10.8,4.6,3.6,5.0,4.8,0.0,0.0,2.4,3.4,0.2,0.0,1.2,0.4,0.4,1.0,4.8,3.6
Ath Madrid,16.2,10.4,6.0,4.4,7.6,3.0,0.0,0.0,1.4,1.6,0.0,0.2,1.6,0.8,1.2,0.8,3.6,7.2
Bordeaux,15.6,11.2,5.2,4.2,6.0,4.0,0.0,0.0,2.2,3.0,0.4,0.0,1.0,0.6,0.0,3.4,4.4,4.4
La Coruna,12.2,11.4,4.4,3.0,4.6,4.2,0.0,0.0,2.2,4.2,0.0,0.2,2.0,0.4,0.6,2.6,2.8,2.6
Osasuna,10.6,12.2,3.6,3.6,4.2,3.2,0.0,0.0,1.6,3.0,0.2,0.0,0.4,1.2,0.4,1.2,5.2,6.2
Siena,11.4,9.0,3.8,3.6,5.0,4.2,0.0,0.0,1.4,2.4,0.2,0.8,1.2,0.4,0.4,2.0,5.0,3.8
Sp Gijon,15.2,9.6,5.6,4.2,4.6,4.8,0.0,0.0,2.6,2.0,0.0,0.2,5.4,0.4,0.4,2.4,4.8,3.4
Bochum,17.2,10.4,6.4,3.4,8.8,3.6,0.0,0.0,2.8,2.0,0.0,0.0,2.2,1.4,0.6,2.0,4.0,3.4
Reggina,11.8,9.2,3.4,4.0,5.0,4.4,0.0,0.0,2.4,2.6,0.6,0.4,1.0,0.8,0.6,1.8,5.0,2.8
Lazio,15.8,13.8,5.6,4.6,4.8,6.0,0.0,0.0,2.2,2.0,0.0,0.2,1.4,0.2,0.2,1.8,3.6,4.6
Inter,15.8,10.4,6.6,5.0,7.4,4.2,0.0,0.0,1.4,1.4,0.0,0.6,4.6,0.0,0.0,2.4,1.6,3.8
Genoa,15.0,10.8,6.6,3.6,8.0,4.6,0.0,0.0,2.4,2.2,0.0,0.0,1.8,0.4,0.8,1.8,4.0,5.2
Chievo,15.4,9.0,4.8,3.6,5.6,4.8,0.0,0.0,1.6,2.8,0.2,0.4,1.0,0.4,0.4,2.6,2.8,3.8
Betis,14.4,14.0,4.6,4.4,7.0,3.2,0.0,0.0,2.2,2.0,0.4,0.0,1.0,1.0,0.8,1.4,5.8,3.4
Atalanta,9.8,12.6,2.8,4.8,3.4,4.8,0.0,0.0,1.6,2.4,0.2,0.2,1.8,0.4,0.2,1.4,3.8,4.8
Werder Bremen,14.0,12.0,5.6,4.8,3.0,5.4,0.0,0.0,3.0,1.6,0.0,0.0,1.8,1.6,1.0,0.6,4.6,6.2
Santander,11.8,10.2,4.4,3.4,5.2,4.8,0.0,0.0,4.0,2.6,0.2,0.0,0.2,1.4,0.2,1.2,6.4,4.8
Milan,15.8,9.8,5.6,3.8,5.6,2.8,0.0,0.0,2.8,3.4,0.0,0.2,3.0,0.4,1.0,1.6,2.0,4.6
St Johnstone,8.2,8.8,4.0,4.0,5.6,5.6,0.0,0.0,1.4,1.8,0.0,0.0,0.8,0.4,0.6,0.6,5.8,5.2
Udinese,16.0,11.8,5.0,4.6,5.8,2.6,0.0,0.0,1.4,2.2,0.2,0.2,4.8,0.2,0.2,2.6,1.0,3.4
Cagliari,14.8,9.8,7.2,3.8,5.0,4.0,0.0,0.0,2.4,2.8,0.2,0.2,2.4,0.0,0.0,1.4,4.2,5.8
Napoli,11.8,16.6,2.6,4.4,4.4,7.2,0.0,0.0,1.2,2.4,0.4,0.2,1.0,0.8,0.8,0.6,4.0,5.6
Valladolid,15.2,12.2,4.6,2.8,6.8,5.2,0.0,0.0,1.6,1.8,0.0,0.0,1.4,0.4,0.0,2.4,5.4,3.2
Roma,15.4,11.0,4.2,5.2,6.0,4.0,0.0,0.0,3.0,3.0,0.4,0.4,1.6,0.8,0.8,2.2,4.2,3.4
